timestamp,solar_power,
17.10.2019 14:26:35,72279, 
17.10.2019 13:26:35,79932, 
17.10.2019 12:26:35,97169, 
17.10.2019 11:26:35,94978, 
17.10.2019 10:26:35,105146, 
17.10.2019 09:26:35,92158, 
17.10.2019 08:26:35,55652, 
17.10.2019 07:26:35,23713, 
17.10.2019 06:26:35,2855, 
17.10.2019 05:26:35,0, 
17.10.2019 04:26:35,0, 
17.10.2019 03:26:35,0, 
17.10.2019 02:26:35,0, 
17.10.2019 01:26:35,0, 
17.10.2019 00:26:35,0, 
16.10.2019 23:26:35,0, 
16.10.2019 22:26:35,0, 
16.10.2019 21:26:35,0, 
16.10.2019 20:26:35,0, 
16.10.2019 19:26:35,0, 
16.10.2019 18:26:35,0, 
16.10.2019 17:26:35,3571, 
16.10.2019 16:26:35,29131, 
16.10.2019 15:26:35,59899, 
16.10.2019 14:26:35,95844, 
16.10.2019 13:26:35,106914, 
16.10.2019 12:26:35,125656, 
16.10.2019 11:26:35,123039, 
16.10.2019 10:26:35,104341, 
16.10.2019 09:26:35,90408, 
16.10.2019 08:26:35,58664, 
16.10.2019 07:26:35,21187, 
16.10.2019 06:26:35,2737, 
16.10.2019 05:26:35,0, 
16.10.2019 04:26:35,0, 
16.10.2019 03:26:35,0, 
16.10.2019 02:26:35,0, 
16.10.2019 01:26:35,0, 
16.10.2019 00:26:35,0, 
15.10.2019 23:26:35,0, 
15.10.2019 22:26:35,0, 
15.10.2019 21:26:35,0, 
15.10.2019 20:26:35,0, 
15.10.2019 19:26:35,0, 
15.10.2019 18:26:35,0, 
15.10.2019 17:26:35,3908, 
15.10.2019 16:26:35,23805, 
15.10.2019 15:26:35,59217, 
15.10.2019 14:26:35,90192, 
15.10.2019 13:26:35,111603, 
15.10.2019 12:26:35,125400, 
15.10.2019 11:26:35,122276, 
15.10.2019 10:26:35,101588, 
15.10.2019 09:26:35,92737, 
15.10.2019 08:26:35,44873, 
15.10.2019 07:26:35,22284, 
15.10.2019 06:26:35,3139, 
15.10.2019 05:26:35,0, 
15.10.2019 04:26:35,0, 
15.10.2019 03:26:35,0, 
15.10.2019 02:26:35,0, 
15.10.2019 01:26:35,0, 
15.10.2019 00:26:35,0, 
14.10.2019 23:26:35,0, 
14.10.2019 22:26:35,0, 
14.10.2019 21:26:35,0, 
14.10.2019 20:26:35,0, 
14.10.2019 19:26:35,0, 
14.10.2019 18:26:35,0, 
14.10.2019 17:26:35,3011, 
14.10.2019 16:26:35,26393, 
14.10.2019 15:26:35,27112, 
14.10.2019 14:26:35,46748, 
14.10.2019 13:26:35,116209, 
14.10.2019 12:26:35,111643, 
14.10.2019 11:26:35,116971, 
14.10.2019 10:26:35,105218, 
14.10.2019 09:26:35,67478, 
14.10.2019 08:26:35,56830, 
14.10.2019 07:26:35,22566, 
14.10.2019 06:26:35,3067, 
14.10.2019 05:26:35,0, 
14.10.2019 04:26:35,0, 
14.10.2019 03:26:35,0, 
14.10.2019 02:26:35,0, 
14.10.2019 01:26:35,0, 
14.10.2019 00:26:35,0, 
13.10.2019 23:26:35,0, 
13.10.2019 22:26:35,0, 
13.10.2019 21:26:35,0, 
13.10.2019 20:26:35,0, 
13.10.2019 19:26:35,0, 
13.10.2019 18:26:35,0, 
13.10.2019 17:26:35,1781, 
13.10.2019 16:26:35,12809, 
13.10.2019 15:26:35,28267, 
13.10.2019 14:26:35,28800, 
13.10.2019 13:26:35,105844, 
13.10.2019 12:26:35,114889, 
13.10.2019 11:26:35,98351, 
13.10.2019 10:26:35,77737, 
13.10.2019 09:33:58,25328, 
13.10.2019 09:07:34,21046, 
13.10.2019 08:07:34,0, 
13.10.2019 07:07:34,0, 
13.10.2019 06:07:34,190, 
13.10.2019 05:07:34,0, 
13.10.2019 04:07:34,0, 
13.10.2019 03:07:34,0, 
13.10.2019 02:07:34,0, 
13.10.2019 01:07:34,0, 
13.10.2019 00:07:34,0, 
12.10.2019 23:07:34,0, 
12.10.2019 22:07:34,0, 
