TimeStamp,Total Power Remaining(Wh),Payload 1 Current(A),Payload 2 Current(A),Umbilical Current(A),Internal Payload (A),Payload 3 Current (A),Power Extension Port (A),Light Bar (A),Battery Current(A),Battery 0 Power Remaining(Wh),Battery 1 Power Remaining(Wh),Battery 2 Power Remaining(Wh),Battery 3 Power Remaining(Wh),Battery 4 Power Remaining(Wh),Battery 5 Power Remaining(Wh),Battery 6 Power Remaining(Wh),Battery 0 Voltage(V),Battery 1 Voltage(V),Battery 2 Voltage(V),Battery 3 Voltage(V),Battery 4 Voltage(V),Battery 5 Voltage(V),Battery 6 Voltage(V),
30.11.2019 17:56:53,733.047, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 17:56:53,733.047, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 16:56:53,757.498, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 16:56:53,757.498, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 15:56:53,770.314, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 15:56:53,770.314, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 14:56:53,758.434, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 14:56:53,758.434, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 13:56:53,718.517, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 13:56:53,718.517, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 12:56:53,656.281, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 12:56:53,656.281, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 11:56:53,581.962, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 11:56:53,581.962, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 10:56:53,509.443, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 10:56:53,509.443, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 09:56:53,444.958, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 09:56:53,444.958, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 08:56:53,403.806, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 08:56:53,403.806, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 07:56:53,394.1, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 07:56:53,394.1, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 06:56:53,409.967, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 06:56:53,409.967, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 05:56:53,437.429, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 05:56:53,437.429, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 04:56:53,465.798, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 04:56:53,465.798, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 03:56:53,493.732, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 03:56:53,493.732, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 02:56:53,521.322, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 02:56:53,521.322, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 01:56:53,548.87, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 01:56:53,548.87, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 00:56:53,575.97, , , , , , , , , , , , , , , , , , , , , , , 
30.11.2019 00:56:53,575.97, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 23:56:53,602.294, , , , , , , , , , , , , , , , , , , , , , , 
29.11.2019 23:56:53,602.294, , , , , , , , , , , , , , , , , , , , , , , 
